"","dates","id"
"9997","4/10/15",1503
"9982","5/10/15",1518
"9973","6/10/15",1527
"9963","7/10/15",1537
"9953","8/10/15",1547
"9944","9/10/15",1556
"9932","10/10/15",1568
"9918","11/10/15",1582
"9910","12/10/15",1590
"9896","13/10/15",1604
"9888","14/10/15",1612
"9876","15/10/15",1624
"9869","16/10/15",1631
"9858","17/10/15",1642
"9841","18/10/15",1659
"9830","19/10/15",1670
"9817","20/10/15",1683
"9801","21/10/15",1699
"9786","22/10/15",1714
"9773","23/10/15",1727
"9763","24/10/15",1737
"9751","25/10/15",1749
"9737","26/10/15",1763
"9720","27/10/15",1780
"9703","28/10/15",1797
"9692","29/10/15",1808
"9679","30/10/15",1821
"9665","31/10/15",1835
"9650","1/11/15",1850
"9635","2/11/15",1865
"9622","3/11/15",1878
"9604","4/11/15",1896
"9593","5/11/15",1907
"9578","6/11/15",1922
"9562","7/11/15",1938
"9545","8/11/15",1955
"9529","9/11/15",1971
"9516","10/11/15",1984
"9493","11/11/15",2007
"9472","12/11/15",2028
"9452","13/11/15",2048
"9438","14/11/15",2062
"9425","15/11/15",2075
"9417","16/11/15",2083
"9403","17/11/15",2097
"9376","18/11/15",2124
"9363","19/11/15",2137
"9342","20/11/15",2158
"9330","21/11/15",2170
"9306","22/11/15",2194
"9282","23/11/15",2218
"9265","24/11/15",2235
"9243","25/11/15",2257
"9232","26/11/15",2268
"9215","27/11/15",2285
"9205","28/11/15",2295
"9187","29/11/15",2313
"9171","30/11/15",2329
"9151","1/12/15",2349
"9135","2/12/15",2365
"9119","3/12/15",2381
"9102","4/12/15",2398
"9089","5/12/15",2411
"9076","6/12/15",2424
"9062","7/12/15",2438
"9042","8/12/15",2458
"9030","9/12/15",2470
"9013","10/12/15",2487
"8993","11/12/15",2507
"8984","12/12/15",2516
"8970","13/12/15",2530
"8950","14/12/15",2550
"8929","15/12/15",2571
"8916","16/12/15",2584
"8893","17/12/15",2607
"8877","18/12/15",2623
"8852","19/12/15",2648
"8836","20/12/15",2664
"8816","21/12/15",2684
"8797","22/12/15",2703
"8777","23/12/15",2723
"8753","24/12/15",2747
"8744","25/12/15",2756
"8722","26/12/15",2778
"8702","27/12/15",2798
"8682","28/12/15",2818
"8663","29/12/15",2837
"8641","30/12/15",2859
"8623","31/12/15",2877
"8596","1/1/16",2904
"8573","2/1/16",2927
"8545","3/1/16",2955
"8513","4/1/16",2987
"8487","5/1/16",3013
"8458","6/1/16",3042
"8430","7/1/16",3070
"8402","8/1/16",3098
"8377","9/1/16",3123
"8357","10/1/16",3143
"8327","11/1/16",3173
"8298","12/1/16",3202
"8280","13/1/16",3220
"8255","14/1/16",3245
"8228","15/1/16",3272
"8214","16/1/16",3286
"8187","17/1/16",3313
"8161","18/1/16",3339
"8130","19/1/16",3370
"8101","20/1/16",3399
"8089","21/1/16",3411
"8056","22/1/16",3444
"8029","23/1/16",3471
"8009","24/1/16",3491
"7986","25/1/16",3514
"7970","26/1/16",3530
"7941","27/1/16",3559
"7916","28/1/16",3584
"7893","29/1/16",3607
"7865","30/1/16",3635
"7839","31/1/16",3661
"7804","1/2/16",3696
"7778","2/2/16",3722
"7751","3/2/16",3749
"7717","4/2/16",3783
"7701","5/2/16",3799
"7668","6/2/16",3832
"7646","7/2/16",3854
"7625","8/2/16",3875
"7605","9/2/16",3895
"7580","10/2/16",3920
"7559","11/2/16",3941
"7532","12/2/16",3968
"7507","13/2/16",3993
"7483","14/2/16",4017
"7457","15/2/16",4043
"7434","16/2/16",4066
"7405","17/2/16",4095
"7380","18/2/16",4120
"7351","19/2/16",4149
"7331","20/2/16",4169
"7305","21/2/16",4195
"7280","22/2/16",4220
"7253","23/2/16",4247
"7232","24/2/16",4268
"7213","25/2/16",4287
"7183","26/2/16",4317
"7162","27/2/16",4338
"7137","28/2/16",4363
"7109","29/2/16",4391
"7085","1/3/16",4415
"7061","2/3/16",4439
"7033","3/3/16",4467
"7010","4/3/16",4490
"6998","5/3/16",4502
"6971","6/3/16",4529
"6940","7/3/16",4560
"6908","8/3/16",4592
"6882","9/3/16",4618
"6852","10/3/16",4648
"6807","11/3/16",4693
"6775","12/3/16",4725
"6752","13/3/16",4748
"6728","14/3/16",4772
"6692","15/3/16",4808
"6666","16/3/16",4834
"6632","17/3/16",4868
"6604","18/3/16",4896
"6586","19/3/16",4914
"6556","20/3/16",4944
"6529","21/3/16",4971
"6502","22/3/16",4998
"6468","23/3/16",5032
"6429","24/3/16",5071
"6393","25/3/16",5107
"6362","26/3/16",5138
"6331","27/3/16",5169
"6304","28/3/16",5196
"6276","29/3/16",5224
"6246","30/3/16",5254
"6218","31/3/16",5282
"6196","1/4/16",5304
"6170","2/4/16",5330
"6148","3/4/16",5352
"6126","4/4/16",5374
"6095","5/4/16",5405
"6068","6/4/16",5432
"6037","7/4/16",5463
"6008","8/4/16",5492
"5989","9/4/16",5511
"5964","10/4/16",5536
"5935","11/4/16",5565
"5903","12/4/16",5597
"5882","13/4/16",5618
"5856","14/4/16",5644
"5828","15/4/16",5672
"5803","16/4/16",5697
"5782","17/4/16",5718
"5760","18/4/16",5740
"5727","19/4/16",5773
"5695","20/4/16",5805
"5664","21/4/16",5836
"5639","22/4/16",5861
"5615","23/4/16",5885
"5585","24/4/16",5915
"5552","25/4/16",5948
"5531","26/4/16",5969
"5498","27/4/16",6002
"5477","28/4/16",6023
"5454","29/4/16",6046
"5415","30/4/16",6085
"5388","1/5/16",6112
"5359","2/5/16",6141
"5336","3/5/16",6164
"5313","4/5/16",6187
"5291","5/5/16",6209
"5268","6/5/16",6232
"5239","7/5/16",6261
"5207","8/5/16",6293
"5169","9/5/16",6331
"5127","10/5/16",6373
"5106","11/5/16",6394
"5071","12/5/16",6429
"5028","13/5/16",6472
"4982","14/5/16",6518
"4943","15/5/16",6557
"4918","16/5/16",6582
"4883","17/5/16",6617
"4849","18/5/16",6651
"4808","19/5/16",6692
"4771","20/5/16",6729
"4726","21/5/16",6774
"4699","22/5/16",6801
"4654","23/5/16",6846
"4621","24/5/16",6879
"4572","25/5/16",6928
"4527","26/5/16",6973
"4494","27/5/16",7006
"4470","28/5/16",7030
"4436","29/5/16",7064
"4404","30/5/16",7096
"4374","31/5/16",7126
"4339","1/6/16",7161
"4309","2/6/16",7191
"4275","3/6/16",7225
"4234","4/6/16",7266
"4203","5/6/16",7297
"4181","6/6/16",7319
"4151","7/6/16",7349
"4115","8/6/16",7385
"4083","9/6/16",7417
"4053","10/6/16",7447
"4020","11/6/16",7480
"3996","12/6/16",7504
"3961","13/6/16",7539
"3937","14/6/16",7563
"3898","15/6/16",7602
"3862","16/6/16",7638
"3830","17/6/16",7670
"3797","18/6/16",7703
"3768","19/6/16",7732
"3742","20/6/16",7758
"3716","21/6/16",7784
"3687","22/6/16",7813
"3658","23/6/16",7842
"3629","24/6/16",7871
"3598","25/6/16",7902
"3568","26/6/16",7932
"3535","27/6/16",7965
"3492","28/6/16",8008
"3456","29/6/16",8044
"3415","30/6/16",8085
"3376","1/7/16",8124
"3348","2/7/16",8152
"3312","3/7/16",8188
"3285","4/7/16",8215
"3246","5/7/16",8254
"3217","6/7/16",8283
"3190","7/7/16",8310
"3166","8/7/16",8334
"3135","9/7/16",8365
"3100","10/7/16",8400
"3071","11/7/16",8429
"3036","12/7/16",8464
"2995","13/7/16",8505
"2956","14/7/16",8544
"2918","15/7/16",8582
"2880","16/7/16",8620
"2850","17/7/16",8650
"2819","18/7/16",8681
"2782","19/7/16",8718
"2749","20/7/16",8751
"2722","21/7/16",8778
"2693","22/7/16",8807
"2664","23/7/16",8836
"2641","24/7/16",8859
"2616","25/7/16",8884
"2583","26/7/16",8917
"2556","27/7/16",8944
"2524","28/7/16",8976
"2504","29/7/16",8996
"2477","30/7/16",9023
"2444","31/7/16",9056
"2414","1/8/16",9086
"2377","2/8/16",9123
"2356","3/8/16",9144
"2320","4/8/16",9180
"2272","5/8/16",9228
"2253","6/8/16",9247
"2229","7/8/16",9271
"2200","8/8/16",9300
"2173","9/8/16",9327
"2142","10/8/16",9358
"2108","11/8/16",9392
"2083","12/8/16",9417
"2039","13/8/16",9461
"2014","14/8/16",9486
"1986","15/8/16",9514
"1954","16/8/16",9546
"1927","17/8/16",9573
"1895","18/8/16",9605
"1867","19/8/16",9633
"1836","20/8/16",9664
"1822","9/2/00",9678
"1807","21/8/16",9693
"1787","22/8/16",9713
"1755","23/8/16",9745
"1728","24/8/16",9772
"1689","25/8/16",9811
"1651","26/8/16",9849
"1621","27/8/16",9879
"1582","28/8/16",9918
"1545","29/8/16",9955
"1517","30/8/16",9983
"1499","no",10001
"1478","31/8/16",10022
"1448","1/9/16",10052
"1410","2/9/16",10090
"1380","3/9/16",10120
"1346","4/9/16",10154
"1313","5/9/16",10187
"1277","6/9/16",10223
"1252","7/9/16",10248
"1225","8/9/16",10275
"1188","9/9/16",10312
"1163","10/9/16",10337
"1138","11/9/16",10362
"1112","12/9/16",10388
"1079","13/9/16",10421
"1048","14/9/16",10452
"1013","15/9/16",10487
"985","16/9/16",10515
"955","17/9/16",10545
"923","18/9/16",10577
"896","19/9/16",10604
"863","20/9/16",10637
"833","21/9/16",10667
"802","22/9/16",10698
"774","23/9/16",10726
"752","24/9/16",10748
"726","25/9/16",10774
"710","26/9/16",10790
"680","27/9/16",10820
"648","28/9/16",10852
"626","29/9/16",10874
"589","30/9/16",10911
"563","1/10/16",10937
"525","2/10/16",10975
"491","3/10/16",11009
"463","4/10/16",11037
"427","5/10/16",11073
"404","6/10/16",11096
"373","7/10/16",11127
"344","8/10/16",11156
"307","9/10/16",11193
"276","10/10/16",11224
"250","11/10/16",11250
"225","1/1/00",11275
"220","12/10/16",11280
"193","13/10/16",11307
"161","14/10/16",11339
"138","15/10/16",11362
"111","16/10/16",11389
"92","17/10/16",11408
"61","18/10/16",11439
"32","19/10/16",11468
"16","20/10/16",11484
"1","21/10/16",11499
